
# Curve 0 of 1, 21 points
# Curve title: ""umrti.csv" u (bin($2,binwidth)):(1.0)"
# x y xlow xhigh type
 5  1  5  5  i
 15  2  15  15  i
 20  1  20  20  i
 25  12  25  25  i
 30  28  30  30  i
 35  37  35  35  i
 40  73  40  40  i
 45  140  45  45  i
 50  214  50  50  i
 55  453  55  55  i
 60  826  60  60  i
 65  1739  65  65  i
 70  3135  70  70  i
 75  3992  75  75  i
 80  3840  80  80  i
 85  3656  85  85  i
 90  1975  90  90  i
 95  492  95  95  i
 100  35  100  100  i
 110  1  110  110  i


