#days	0-14	15-39	40-64	65-74	75-84	85 a více	celkem	covid	avg11-19	y20-avg	exc-covid
5		10		35		370		533		662		695			2305	0		2306		-1		-1
12		8		27		343		488		700		756			2322	0		2248		74		74
19		7		26		316		534		665		697			2245	0		2280		-35		-35
26		13		29		356		531		695		713			2337	0		2290		47		47
33		5		36		327		522		703		776			2369	0		2342		27		27
40		6		38		328		561		689		731			2353	0		2386		-33		-33
47		8		35		316		546		680		806			2391	0		2391		0		0
54		9		26		337		509		709		757			2347	0		2395		-48		-48
61		10		42		327		564		686		730			2359	0		2349		10		10
68		6		37		334		553		641		721			2292	0		2317		-25		-25
75		8		33		323		552		666		720			2302	0		2283		19		19
82		9		34		354		551		659		717			2324	1		2241		83		82
89		8		36		342		538		683		687			2294	22		2203		91		69
96		5		31		317		585		696		688			2322	51		2159		163		112
103		4		23		338		507		678		689			2239	72		2124		115		43
110		3		41		332		486		656		609			2127	43		2094		33		-10
117		10		39		307		459		591		625			2031	35		2099		-68		-103
124		10		37		301		526		635		603			2112	30		2015		97		67
131		5		28		290		471		592		612			1998	26		1990		8		-18
138		7		27		337		506		540		612			2029	17		1965		64		47
145		14		38		259		460		570		578			1919	17		1989		-70		-87
152		13		30		258		514		514		607			1936	4		2001		-65		-69
159		3		24		304		533		652		619			2135	8		1945		190		182
166		7		26		306		472		587		586			1984	5		1959		25		20
173		6		43		322		498		573		583			2025	8		1974		51		43
180		8		34		331		501		601		605			2080	7		1947		133		126
187		9		39		332		504		601		627			2112	6		1989		123		117
194		7		39		296		472		594		588			1996	3		1970		26		23
201		10		22		310		511		564		574			1991	6		1962		29		23
208		7		41		339		498		579		622			2086	11		2033		53		42
215		9		40		342		507		665		668			2231	14		2025		206		192
222		10		51		304		518		653		627			2163	7		1973		190		183
229		7		46		327		532		627		649			2188	9		1967		221		212
236		8		43		341		476		604		631			2103	16		1962		141		125
243		7		29		302		480		598		618			2034	8		1909		125		117
250		8		39		307		516		590		581			2041	17		1939		102		85
257		8		31		293		503		637		614			2086	29		1943		143		114
264		8		36		315		506		701		657			2223	56		1968		255		199
271		10		37		339		545		729		729			2389	99		2003		386		287
278		6		41		323		557		742		714			2383	146		2060		323		177
285		11		31		361		643		795		766			2607	300		2077		530		230
292		5		32		369		711		915		919			2951	494		2060		891		397
299		7		37		412		780		1191	1217	    3644	894		2069		1575	681
306		8		33		457		922		1450	1347	    4217	1357	2037	    2180	823
313		2		46		442		868		1444	1431	    4233	1523	2015	    2218	695
320		1		45		417		866		1263	1268	    3860	1269	2038	    1822	553
327		3		31		443		762		1115	1066	    3420	971		2045		1375	404
334	    4	    32	    398	    708	    987     1037	    3166    865	    2095    	1071	206
341	    5	    33	    402	    756	    952     948	        3096    746	    2121    	975	    229
348		10		38		344		662		1044	1003	    3101	690		2136		965	    275
355		12		43		402		703		1039	1044	    3243	760		2202		1041	281
362	    9	    42	    400	    714	    1062    983	        3210    762	    2202    	1008	246
369		10		43		421		751		1197	1051	    3473	983		2306		1167	184
376		6		48		453		860		1277	1124	    3768	1208	2248	    1520	312
383		4		47		455		892		1157	1118	    3673	1149	2280	    1393	244
390		6		38		444		848		1117	1027	    3480	1020	2290	    1190	170
