
# Curve 0 of 1, 62 points
# Curve title: "filter.' d20_21exc.dat'"
# x y type
 7  31  i
 14  2  i
 21  16  i
 28  33  i
 35 -33  i
 42 -43  i
 49 -52  i
 56 -11  i
 63 -5  i
 70 -27  i
 77  52  i
 84  28  i
 91  58  i
 98  134  i
 105 -7  i
 112  29  i
 119 -64  i
 126  91  i
 133 -3  i
 140 -43  i
 147  33  i
 154 -6  i
 161  92  i
 168 -19  i
 175 -14  i
 182  14  i
 189 -4  i
 196  20  i
 203  24  i
 210 -16  i
 217  64  i
 224  63  i
 231  61  i
 238  58  i
 245 -59  i
 252  66  i
 259  93  i
 266  39  i
 273  78  i
 280  67  i
 287  192  i
 294  214  i
 301  472  i
 308  729  i
 315  642  i
 322  591  i
 329  413  i
 336  323  i
 343  317  i
 350  258  i
 357  299  i
 364  353  i
 371  398  i
 372  570  i
 379  500  i
 386  466  i
 393  433  i
 400  308  i
 407  384  i
 414  383  i
 421  525  i
 428  646  i

