
# Curve 0 of 1, 219 points
# Curve title: "1st dose"
# x y xlow xhigh type
-1  1151 -1 -1  i
 361  24  361  361  i

-1  1355 -1 -1  i
 361  1  361  361  i
 362  36  362  362  i

-1  6875 -1 -1  i
 362  62  362  362  i
 363  280  363  363  i
 364  179  364  364  i

-1  2322 -1 -1  i
 364  5  364  364  i
 365  118  365  365  i
 366  3  366  366  i
 367  8  367  367  i

-1  2900 -1 -1  i
 367  4  367  367  i
 368  3  368  368  i
 369  20  369  369  i

-1  6826 -1 -1  i
 369  11  369  369  i
 370  41  370  370  i

-1  1640 -1 -1  i
 371  43  371  371  i

-1  4102 -1 -1  i
 371  24  371  371  i

-1  1754 -1 -1  i
 372  67  372  372  i

-1  508 -1 -1  i

-1  1260 -1 -1  i
 372  315  372  372  i

-1  16240 -1 -1  i
 372  17  372  372  i
 373  857  373  373  i
 374  186  374  374  i
 375  60  375  375  i

-1  2585 -1 -1  i
 375  47  375  375  i
 376  280  376  376  i

-1  1773 -1 -1  i
 376  58  376  376  i

-1  2920 -1 -1  i
 376  155  376  376  i

-1  2148 -1 -1  i
 376  140  376  376  i

-1  14034 -1 -1  i
 377  1651  377  377  i
 378  647  378  378  i

-1  12999 -1 -1  i
 378  1042  378  378  i
 379  713  379  379  i

-1  6584 -1 -1  i
 379  795  379  379  i

-1  8230 -1 -1  i
 379  773  379  379  i
 380  1394  380  380  i

-1  1642 -1 -1  i
 380  272  380  380  i

-1  551 -1 -1  i
 380  47  380  380  i

-1  1712 -1 -1  i
 380  196  380  380  i

-1  1044 -1 -1  i
 380  223  380  380  i

-1  5357 -1 -1  i
 380  147  380  380  i
 381  1507  381  381  i
 382  1639  382  382  i
 383  1907  383  383  i

-1  32314 -1 -1  i
 383  2764  383  383  i
 384  5369  384  384  i
 385  6366  385  385  i
 386  8228  386  386  i
 387  6450  387  387  i

-1  10164 -1 -1  i
 387  2379  387  387  i
 388  2454  388  388  i
 389  1831  389  389  i
 390  6121  390  390  i
 391  6264  391  391  i

-1  3477 -1 -1  i
 391  71  391  391  i
 392  5396  392  392  i

-1  813 -1 -1  i
 392  61  392  392  i
 393  1510  393  393  i

-1  4992 -1 -1  i
 393  2838  393  393  i
 394  3893  394  394  i
 395  562  395  395  i
 396  578  396  396  i
 397  897  397  397  i

-1  159 -1 -1  i
 397  172  397  397  i

-1  106 -1 -1  i
 397  137  397  397  i

-1  548 -1 -1  i
 397  765  397  397  i

-1  3845 -1 -1  i
 397  506  397  397  i
 398  2495  398  398  i
 399  2627  399  399  i
 400  861  400  400  i

-1  753 -1 -1  i
 400  1235  400  400  i

-1  2080 -1 -1  i
 400  1117  400  400  i
 401  2163  401  401  i

-1  5862 -1 -1  i
 401  1265  401  401  i
 402  733  402  402  i
 403  727  403  403  i
 404  2609  404  404  i
 405  3005  405  405  i
 406  1424  406  406  i

-1  24554 -1 -1  i
 406  1655  406  406  i
 407  3309  407  407  i
 408  3702  408  408  i
 409  997  409  409  i
 410  664  410  410  i
 411  3826  411  411  i
 412  5631  412  412  i
 413  5797  413  413  i
 414  7677  414  414  i
 415  4383  415  415  i

-1  905234 -1 -1  i
 415  2568  415  415  i
 416  1150  416  416  i
 417  749  417  417  i
 418  6287  418  418  i
 419  7713  419  419  i
 420  7436  420  420  i
 421  9989  421  421  i
 422  8146  422  422  i
 423  1751  423  423  i
 424  1200  424  424  i
 425  7706  425  425  i
 426  7605  426  426  i
 427  7604  427  427  i
 428  7586  428  428  i
 429  5395  429  429  i
 430  1700  430  430  i
 431  1457  431  431  i
 432  4464  432  432  i
 433  5168  433  433  i
 434  5969  434  434  i
 435  6040  435  435  i
 436  4022  436  436  i
 437  1378  437  437  i
 438  995  438  438  i
 439  2231  439  439  i
 440  3227  440  440  i
 441  3248  441  441  i
 442  3549  442  442  i
 443  3043  443  443  i
 444  936  444  444  i
 445  489  445  445  i
 446  1935  446  446  i
 447  2192  447  447  i
 448  2234  448  448  i
 449  2459  449  449  i
 450  1989  450  450  i
 451  524  451  451  i
 452  273  452  452  i
 453  1646  453  453  i
 454  2266  454  454  i
 455  2134  455  455  i
 456  2102  456  456  i
 457  619  457  457  i
 458  234  458  458  i
 459  149  459  459  i
 460  138  460  460  i
 461  1375  461  461  i
 462  1998  462  462  i
 463  2868  463  463  i
 464  2295  464  464  i
 465  700  465  465  i
 466  404  466  466  i
 467  1529  467  467  i


